"reference_cell_types","query_clusters","number_OMGs","p_value","negative_log10_p_value","significant"
"manihot_esculenta Root Root apical meristem",0,7,1,0,"No"
"manihot_esculenta Root Root cortex",0,12,0.680856933452435,0.166944135575632,"No"
"manihot_esculenta Root Root endodermis",0,15,0.02283315013431,1.6414341677226,"Yes"
"manihot_esculenta Root Root epidermis",0,10,0.316363740707831,0.499813297971097,"No"
"manihot_esculenta Root Root exodermis",0,8,1,0,"No"
"manihot_esculenta Root Root hair cell",0,21,0.00200849000583635,2.69713032495841,"Yes"
"manihot_esculenta Root Root vascular system",0,0,1,0,"No"
"manihot_esculenta Root Xylem",0,7,0.563764306536636,0.248902423967944,"No"
"manihot_esculenta Tuberous root Meristematic cell",0,8,1,0,"No"
"manihot_esculenta Tuberous root Metaxylem",0,7,1,0,"No"
"manihot_esculenta Tuberous root Pericycle",0,12,0.445225230405281,0.351420232667717,"No"
"manihot_esculenta Tuberous root Phloem",0,13,0.00161035546022722,2.79307824982149,"Yes"
"manihot_esculenta Tuberous root Phloem parenchyma",0,6,1,0,"No"
"manihot_esculenta Tuberous root Root cortex",0,9,1,0,"No"
"manihot_esculenta Tuberous root Root epidermis",0,16,0.263377633436232,0.579421108978124,"No"
"manihot_esculenta Tuberous root Root exodermis",0,17,0.0998073740064747,1.00083737081669,"No"
"manihot_esculenta Tuberous root Root hair",0,22,0.00661822907199229,2.17925820499416,"Yes"
"manihot_esculenta Tuberous root Root procambium",0,20,0.0304766794532481,1.51603235274219,"Yes"
"manihot_esculenta Tuberous root Vascular bundle",0,1,1,0,"No"
"manihot_esculenta Tuberous root Xylem",0,12,0.964289273541684,0.0157926641703991,"No"
"medicago_truncatula Root Cortex",0,5,1,0,"No"
"medicago_truncatula Root Nodule apex",0,10,0.600297753859739,0.221633281645202,"No"
"medicago_truncatula Root Nodule parenchyma",0,11,0.249219515393847,0.603417952799333,"No"
"medicago_truncatula Root Non-hair",0,5,1,0,"No"
"medicago_truncatula Root Pericycle",0,32,1.96083585379482e-11,10.7075587606284,"Yes"
"medicago_truncatula Root Phloem",0,11,0.273695609946975,0.56273216857853,"No"
"medicago_truncatula Root Root apical meristem",0,9,1,0,"No"
"medicago_truncatula Root Root cap",0,12,0.309219683912775,0.509732868108803,"No"
"medicago_truncatula Root Root cortex",0,10,0.600297753859739,0.221633281645202,"No"
"medicago_truncatula Root Root endodermis",0,8,0.608426302774916,0.215792019301674,"No"
"medicago_truncatula Root Root epidermis",0,6,0.606509256169585,0.217162566812743,"No"
"medicago_truncatula Root Root hair",0,6,1,0,"No"
"medicago_truncatula Root Root hair cell",0,3,1,0,"No"
"medicago_truncatula Root Root nodule",0,2,1,0,"No"
"medicago_truncatula Root Root stele",0,16,0.000206601680296355,3.68486615067474,"Yes"
"medicago_truncatula Root Root vascular system",0,8,0.795008402225737,0.0996282813800201,"No"
"medicago_truncatula Root Stem cell niche",0,3,1,0,"No"
"medicago_truncatula Root Xylem",0,2,1,0,"No"
"nicotiana_attenuata Corolla Chlorenchyma",0,4,0.977593074591108,0.00984188369472886,"No"
"nicotiana_attenuata Corolla Epidermis",0,0,1,0,"No"
"nicotiana_attenuata Corolla Parenchyma",0,16,0.0321590472097423,1.4926968267669,"Yes"
"nicotiana_attenuata Corolla Pollen",0,4,0.570308407090785,0.243890226299823,"No"
"nicotiana_attenuata Corolla Vascular tissue",0,14,0.393209305256766,0.40537621318515,"No"
"oryza_sativa Inflorescence Branch meristem",0,2,0.948628070837022,0.0229040282934166,"No"
"oryza_sativa Inflorescence Cryptic bract",0,3,1,0,"No"
"oryza_sativa Inflorescence Floret meristem",0,6,0.931038940661273,0.0310321542918669,"No"
"oryza_sativa Inflorescence Inflorescence axis",0,8,0.0609755439207043,1.2148443169559,"No"
"oryza_sativa Inflorescence Inflorescence meristem",0,4,0.328172857285589,0.483897341681952,"No"
"oryza_sativa Inflorescence Lodicule",0,0,1,0,"No"
"oryza_sativa Inflorescence Rudimentary glume",0,1,1,0,"No"
"oryza_sativa Inflorescence Spikelet",0,0,1,0,"No"
"oryza_sativa Inflorescence Spikelet floret",0,1,1,0,"No"
"oryza_sativa Inflorescence Spikelet identity cell",0,9,0.951997057062502,0.02136439416121,"No"
"oryza_sativa Inflorescence Spikelet meristem",0,3,1,0,"No"
"oryza_sativa Inflorescence Spikelet supporting cell",0,5,0.288236842668805,0.540250508098316,"No"
"oryza_sativa Inflorescence Sterile lemma",0,1,1,0,"No"
"oryza_sativa Leaf Initial cell",0,4,0.635676539532438,0.196763816475186,"No"
"oryza_sativa Leaf Large parenchyma cell",0,10,0.210696893391623,0.676341867775012,"No"
"oryza_sativa Leaf Leaf epidermis",0,16,0.556997472882083,0.254146775231758,"No"
"oryza_sativa Leaf Leaf lamina epidermis",0,6,0.825677995049232,0.0831892895303296,"No"
"oryza_sativa Leaf Leaf preprocambium",0,9,0.999184457534858,0.000354330097636603,"No"
"oryza_sativa Leaf Mesophyll",0,8,0.686645601139998,0.163267357819913,"No"
"oryza_sativa Leaf Mesophyll cell",0,10,0.770121619096804,0.113440684786198,"No"
"oryza_sativa Leaf Mesophyll precursor",0,3,1,0,"No"
