"reference_cluster","species","tissue","ref_numOMG","query_cluster","query_numOMG","num_common_OMG","FDR","test"
"Plant embryo cotyledon","arabidopsis_thaliana","Seed",174,1,108,11,0.000957216916762612,"Reject"
"Root procambium","manihot_esculenta","Tuberous root",187,5,149,20,0.000999702720836237,"Reject"
"Hypocotyl","arabidopsis_thaliana","Seed",115,1,108,13,0.00105716118873314,"Reject"
"Dividing protoderm","arabidopsis_thaliana","Seed",137,8,149,28,0.00105716118873314,"Reject"
"Idioblast cell","catharanthus_roseus","Leaf",147,2,141,32,0.00107379097441057,"Reject"
"Phloem parenchyma","catharanthus_roseus","Leaf",157,5,149,27,0.00107379097441057,"Reject"
"Proliferating cell","gossypium_hirsutum","Leaf",111,1,108,7,0.00113166373647196,"Reject"
"Leaf rim","zea_mays","Shoot axis apex",118,1,108,8,0.00125522157579441,"Reject"
"Root endodermis","sorghum_bicolor","Root",147,13,156,25,0.00126056013580284,"Reject"
"Leaf epidermis","catharanthus_roseus","Leaf",183,11,171,23,0.00135836152758239,"Reject"
"Pericycle","solanum_lycopersicum","Root",193,0,164,25,0.00136562921423577,"Reject"
"Xylem","oryza_sativa","Leaf",96,10,140,25,0.00145149393355269,"Reject"
"Leaf marginal meristem","solanum_lycopersicum","Shoot axis apex",136,3,165,18,0.00147018947208427,"Reject"
"Stem cell niche","medicago_truncatula","Root",133,8,149,16,0.00151139017671559,"Reject"
"Proliferating cell","catharanthus_roseus","Leaf",95,8,149,22,0.0016292441902797,"Reject"
"Sclerenchyma","oryza_sativa","Root",99,12,150,23,0.00163570530872687,"Reject"
"Early stele","zea_mays","Root",130,1,108,25,0.00181393468693079,"Reject"
"Root exodermis","manihot_esculenta","Root",121,7,146,27,0.0018966670989267,"Reject"
"Phloem","fragaria_vesca","Leaf",135,14,85,16,0.00200455194505685,"Reject"
"Mature endodermis","zea_mays","Root",152,4,118,16,0.00204858682479474,"Reject"
"Root exodermis/Sclerenchym","oryza_sativa","Root;Leaf",184,6,162,37,0.0021507784169692,"Reject"
"Bundle sheath cell","brassica_rapa","Leaf",143,5,149,15,0.00221325649308993,"Reject"
"Root exodermis","zea_mays","Root",176,2,141,29,0.00226079769053164,"Reject"
"Xylem parenchyma","populus_alba_var_pyramidalis","Stem",176,7,146,21,0.0022903919940559,"Reject"
"Phloem","oryza_sativa","Leaf",105,14,85,9,0.00240437041173802,"Reject"
"Metaphloem","arabidopsis_thaliana","Root",28,4,118,6,0.00245046596981668,"Reject"
"Xylem","oryza_sativa","Leaf",96,12,150,18,0.00247426842546032,"Reject"
"Mature endodermis","zea_mays","Root",152,14,85,12,0.0026335061315982,"Reject"
"Xylem pole pericycle cell","arabidopsis_thaliana","Root",150,8,149,39,0.0026812473314859,"Reject"
"Shoot system vascular system","arabidopsis_thaliana","Stem",131,0,164,21,0.00284211670457136,"Reject"
"Vascular initial cell","arabidopsis_thaliana","Seed",157,4,118,14,0.00304046399004453,"Reject"
"Shoot meristem initial cell","arabidopsis_thaliana","Seed",151,1,108,7,0.00305334185684592,"Reject"
"Parenchyma","oryza_sativa","Root;Leaf",184,3,165,16,0.00310858765561165,"Reject"
"Shoot system cortex","arabidopsis_thaliana","Stem",173,5,149,15,0.00311466769376891,"Reject"
"Xylem","gossypium_bickii","Leaf",127,10,140,19,0.00315636978027815,"Reject"
"Meristematic cell","manihot_esculenta","Tuberous root",181,1,108,35,0.00320044492708521,"Reject"
"Root vascular system","glycine_max","Root",119,0,164,23,0.00331907771238307,"Reject"
"Root endodermis","glycine_max","Root",109,13,156,16,0.00331907771238307,"Reject"
"Metaxylem","oryza_sativa","Root",122,10,140,17,0.00338285389207026,"Reject"
"Pericycle cell","arabidopsis_thaliana","Root",123,0,164,22,0.0035479808321506,"Reject"
"Spikelet identity cell","oryza_sativa","Inflorescence",183,7,146,22,0.00377863904152981,"Reject"
"Companion cell","gossypium_bickii","Seed",191,4,118,26,0.00393079368384849,"Reject"
"Root exodermis","manihot_esculenta","Tuberous root",183,7,146,29,0.00394700358007201,"Reject"
"Procambium","oryza_sativa","Root;Leaf",192,3,165,19,0.0040919623270208,"Reject"
"Trichoblast","solanum_lycopersicum","Root",192,6,162,29,0.00438396975429273,"Reject"
"Phloem parenchyma","catharanthus_roseus","Leaf",157,0,164,19,0.00438806986756443,"Reject"
"Pericycle cell","manihot_esculenta","Root",125,8,149,20,0.00445328208412458,"Reject"
"Root endodermis","glycine_max","Root",109,9,90,13,0.00469496044288025,"Reject"
"Initial cell","oryza_sativa","Leaf",38,1,108,6,0.00527796745597731,"Reject"
"Stem pith","glycine_max","Stem",152,0,164,19,0.00546917246431955,"Reject"
"Phloem","glycine_max","Stem",127,14,85,10,0.00546917246431955,"Reject"
"S-phase cell","arabidopsis_thaliana","Stem",140,1,108,12,0.00594254258233709,"Reject"
"Mesophyll cell","arabidopsis_thaliana","Stem",108,2,141,9,0.00622300763208692,"Reject"
"Trichome","solanum_lycopersicum","Shoot axis apex",188,12,150,28,0.00668742845762838,"Reject"
"Root cap","zea_mays","Root",165,7,146,23,0.00702363055947529,"Reject"
"Atrichoblast","solanum_lycopersicum","Root",194,3,165,17,0.00789512998864786,"Reject"
"Endodermis","solanum_lycopersicum","Root",185,13,156,33,0.00789512998864786,"Reject"
"Sieve element","manihot_esculenta","Leaf",158,3,165,19,0.00791872351820276,"Reject"
"Pericycle cell","glycine_max","Root",121,0,164,19,0.00797556925281783,"Reject"
"Exodermis","solanum_lycopersicum","Root",183,12,150,40,0.00833208068692055,"Reject"
"Xylem","gossypium_bickii","Seed",181,10,140,23,0.00865667484857913,"Reject"
